id	title	meter	full	p1	p2	p3	p4	pr_p1	pr_p2	pr_p3	pr_p4	needs_split_practice	has_p12	has_p34	mode	artha_sa	meaning_en
vsn_011	पूर्वपीठिका 9	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	को धर्मः सर्वधर्माणां भवतः परमो मतः । किं जपन्मुच्यते जन्तुर्जन्म-संसार-बन्धनात् ॥ ९॥	को धर्मः सर्वधर्माणाम्	भवतः परमो मतः । 	 किं जपन् मुच्यते जन्तुः	जन्म-संसार-बन्धनात् ॥ ९॥					FALSE	TRUE	TRUE			
vsn_012	पूर्वपीठिका 10		श्री भीष्म उवाच					श्री भीष्म उवाच				FALSE	FALSE	FALSE	full_only		
vsn_013	पूर्वपीठिका 11	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	जगत्प्रभुं देवदेवमनन्तं पुरुषोत्तमम् ।स्तुवन्नाम सहस्रेण पुरुषः सततोत्थितः ॥ १० ॥	जगत्प्रभुं देवदेवम्	अनन्तं पुरुषोत्तमम् ।	स्तुवन्नाम सहस्रेण	पुरुषः सततोत्थितः ॥ १० ॥					FALSE	TRUE	TRUE			
vsn_014	पूर्वपीठिका 12	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	तमेव चार्चयन्नित्यं भक्त्या पुरुषमव्ययम् । ध्यायन् स्तुवन् नमस्यंश्च यजमानस्तमेव च ॥११॥	तमेव चार्चयन्नित्यम्	 भक्त्या पुरुषमव्ययम् ।	ध्यायन् स्तुवन् नमस्यंश्च	यजमानस्तमेव च ॥११॥					FALSE	TRUE	TRUE			
vsn_015	पूर्वपीठिका 13	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	अनादि-निधनं विष्णुं सर्वलोक-महेश्वरम् ।लोकाध्यक्षं स्तुवन् नित्यं सर्वदुःखातिगो भवेत् ॥ १२ ॥	अनादि-निधनं विष्णुम्	सर्वलोक-महेश्वरम् ।	लोकाध्यक्षं स्तुवन् नित्यम्	सर्वदुःखातिगो भवेत् ॥ १२ ॥					FALSE	TRUE	TRUE			
vsn_016	पूर्वपीठिका 14	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	ब्रह्मण्यं सर्व-धर्मज्ञं लोकानां कीर्ति-वर्धनम् । लोकनाथं महद्भूतं सर्वभूत-भवोद्भवम्॥१३॥	ब्रह्मण्यं सर्व धर्मज्ञम्	लोकानां कीर्ति वर्धनम् ।	लोकनाथं महद्भूतम्	 सर्वभूत-भवोद्भवम्॥१३॥					FALSE	TRUE	TRUE			
vsn_017	पूर्वपीठिका 15	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	एष मे सर्व-धर्माणां धर्मोऽधिक-तमोमतः । यद्भक्त्या पुण्डरीकाक्षं स्तवैरर्चेन्नरः सदा ॥१४॥	एष मे सर्व-धर्माणाम्	धर्मोऽधिक-तमोमतः ।	यद्भक्त्या पुण्डरीकाक्षम्	 स्तवैरर्चेन्नरः सदा ॥१४॥					FALSE	TRUE	TRUE			
vsn_018	पूर्वपीठिका 16	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	परमं यो महत्तेजः परमं यो महत्तपः । परमं यो महद्ब्रह्म परमं यः परायणम् ॥ १५ ॥	परमं यो महत्तेजः	परमं यो महत्तपः ।	परमं यो महद्ब्रह्म	परमं यः परायणम् ॥ १५ ॥					FALSE	TRUE	TRUE			
vsn_019	पूर्वपीठिका 17	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	पवित्राणां पवित्रं यो मङ्गलानां च मङ्गलम् । दैवतं देवतानां च भूतानां योऽव्ययः पिता ॥ १६॥	पवित्राणां पवित्रं यः	मङ्गलानां च मङ्गलम् ।	 दैवतं देवतानां च	 भूतानां योऽव्ययः पिता ॥ १६॥					FALSE	TRUE	TRUE			
vsn_020	पूर्वपीठिका 18	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	यतः सर्वाणि भूतानि भवन्त्यादि युगागमे । यस्मिंश्च प्रलयं यान्ति पुनरेव युगक्षये ॥१७॥	यतः सर्वाणि भूतानि	भवन्त्यादि युगागमे ।	 यस्मिंश्च प्रलयं यान्ति	पुनरेव युगक्षये ॥१७॥					FALSE	TRUE	TRUE			
vsn_021	पूर्वपीठिका 19	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	तस्य लोक-प्रधानस्य जगन्नाथस्य भूपते ।विष्णोर्नाम सहस्रं मे श्रुणु पाप-भयापहम् ॥१८॥	तस्य लोक-प्रधानस्य	जगन्नाथस्य भूपते ।	विष्णोर्नाम सहस्रं मे	श्रुणु पाप-भयापहम् ॥१८॥					FALSE	TRUE	TRUE			
vsn_022	पूर्वपीठिका 20	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	यानि नामानि गौणानि विख्यातानि महात्मनः ।ऋषिभिः परिगीतानि तानि वक्ष्यामि भूतये ॥ १९॥	यानि नामानि गौणानि	विख्यातानि महात्मनः । 	ऋषिभिः परिगीतानि	तानि वक्ष्यामि भूतये ॥ १९॥					FALSE	TRUE	TRUE			
vsn_023	पूर्वपीठिका 21	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	ऋषिर्नाम्नां सहस्रस्य वेदव्यासो महामुनिः । छन्दोऽनुष्टुप् तथा देवो भगवान् देवकीसुतः ॥ २० ॥	ऋषिर्नाम्नां सहस्रस्य	वेदव्यासो महामुनिः ।	छन्दोऽनुष्टुप् तथा देवः	 भगवान् देवकीसुतः ॥ २० ॥					FALSE	TRUE	TRUE			
vsn_024	पूर्वपीठिका 22	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	अमृतां शूद्भवो बीजं शक्तिर्देवकिनन्दनः ।त्रिसामा-हृदयं तस्य शान्त्यर्थे विनियुज्यते ॥२१॥	अमृतां शूद्भवो बीजम्	शक्तिर्देवकिनन्दनः ।	त्रिसामा हृदयं तस्य	शान्त्यर्थे विनियुज्यते ॥२१॥					FALSE	TRUE	TRUE			
vsn_025	पूर्वपीठिका 23	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	विष्णुं जिष्णुं महाविष्णुं प्रभविष्णुं महेश्वरम् । अनेकरूप-दैत्यान्तं नमामि पुरुषोत्तमम् ॥२२॥	विष्णुं जिष्णुं महाविष्णुम्	प्रभविष्णुं महेश्वरम् । 	अनेकरूप-दैत्यान्तम्	 नमामि पुरुषोत्तमम् ॥२२॥					FALSE	TRUE	TRUE			
vsn_026	पूर्वन्यासः		अस्य श्री विष्णोर्दिव्य-सहस्रनाम-स्तोत्र-महामन्त्रस्य ॥ श्री वेदव्यासो भगवान् ऋषिः । अनुष्टुप्-छन्दः । श्रीमहाविष्णुः परमात्मा श्रीमन्नारायणो देवता । अमृतांशूद्भवो भानुरिति बीजम् । देवकीनन्दनः स्रष्टेति शक्तिः । उद्भवः, क्षोभणो देव इति परमोमन्त्रः । शङ्खभृन्नन्दकी चक्रीति कीलकम् । शार्​ङ्गधन्वा गदाधर इत्यस्त्रम् । रथाङ्गपाणि रक्षोभ्य इति नेत्रम् । त्रिसामासामगः सामेति कवचम् । आनन्दं परब्रह्मेति योनिः । ऋतुस्सुदर्शनः काल इति दिग्बन्धः ॥ श्रीविश्वरूप इति ध्यानम् । श्री महाविष्णु-प्रीत्यर्थे सहस्रनाम-(जपे)-पारायणे विनियोगः ।	अस्य श्री विष्णोर्दिव्य-सहस्रनाम-स्तोत्र-महामन्त्रस्य ॥ श्री वेदव्यासो भगवान् ऋषिः । अनुष्टुप्-छन्दः । श्रीमहाविष्णुः परमात्मा श्रीमन्नारायणो देवता ।	अमृतांशूद्भवो भानुरिति बीजम् । देवकीनन्दनः स्रष्टेति शक्तिः । उद्भवः, क्षोभणो देव इति परमोमन्त्रः । शङ्खभृन्नन्दकी चक्रीति कीलकम् । शार्​ङ्गधन्वा गदाधर इत्यस्त्रम् ।	रथाङ्गपाणि रक्षोभ्य इति नेत्रम् । त्रिसामासामगः सामेति कवचम् । आनन्दं परब्रह्मेति योनिः । ऋतुस्सुदर्शनः काल इति दिग्बन्धः ॥	श्रीविश्वरूप इति ध्यानम् । श्री महाविष्णु-प्रीत्यर्थे सहस्रनाम-(जपे)-पारायणे विनियोगः ।					FALSE	TRUE	TRUE			
vsn_027	ध्यानम् -1	स्रग्धरा-->	क्षीरोधन्वत्प्रदेशे शुचिमणि-विलस-त्सैकते-मौक्तिकानां माला-कॢप्तासनस्थः स्फटिक-मणिनिभै-र्मौक्तिकै-र्मण्डिताङ्गः । शुभ्रै-रभ्रै-रदभ्रै-रुपरिविरचितै-र्मुक्त-पीयूष-वर्षैर् आनन्दी नः पुनीयाद् अरि-नलिन-गदा-शङ्खपाणि-र्मुकुन्दः ॥ १ ॥	क्षीरोधन्वत्प्रदेशे शुचिमणि-विलस-त्सैकते-मौक्तिकानाम्	माला-कॢप्तासनस्थः स्फटिक-मणिनिभै-र्मौक्तिकै-र्मण्डिताङ्गः ।	शुभ्रै-रभ्रै-रदभ्रै-रुपरिविरचितै-र्मुक्त-पीयूष-वर्षैः ।	आनन्दी नः पुनीयाद्-अरि-नलिन-गदा-शङ्खपाणि-र्मुकुन्दः ॥ १ ॥					FALSE	TRUE	TRUE			
vsn_028	ध्यानम् -2	स्रग्धरा-->	भूः पादौ यस्य नाभिर्विय-दसुर्-अनिलश्चन्द्र-सूर्यौ च नेत्रे कर्णावाशाः शिरोद्यौर्मुखमपि दहनो यस्य वास्तेयमब्धिः । अन्तःस्थं यस्य विश्वं सुर-नर-खग-गो-भोगि-गन्धर्व-दैत्यैः चित्रं रं रम्यते तं त्रिभुवन-वपुशं विष्णुम् ईशं नमामि ॥ २ ॥	भूः पादौ यस्य नाभिर्विय-दसुर्-अनिलश्चन्द्र-सूर्यौ च नेत्रे	कर्णावासाः शिरोद्यौर्मुखमपि दहनो यस्य वास्तेयमब्धिः ।	अन्तःस्थं यस्य विश्वं सुर-नर-खग-गो-भोगि-गन्धर्व-दैत्यैः	चित्रं रं रम्यते तं त्रिभुवन वपुशं विष्णुम् ईशं नमामि ॥ २ ॥					FALSE	TRUE	TRUE			
vsn_029	ध्यानम् -3		ॐ नमो भगवते वासुदेवाय ।									FALSE	FALSE	FALSE	full_only		
vsn_030	ध्यानम् -4	मन्दाक्रान्ता	शान्ताकारं भुजगशयनं पद्मनाभं सुरेशं विश्वाधारं गगनसदृशं मेघवर्णं शुभाङ्गम् । लक्ष्मीकान्तं कमलनयनं योगिहृद्ध्यानगम्यम् वन्दे विष्णुं भवभयहरं सर्वलोकैकनाथम् ॥ ३॥	शान्ताकारं भुजगशयनं पद्मनाभं सुरेशम् 	विश्वाधारं गगनसदृशं मेघवर्णं शुभाङ्गम् ।	लक्ष्मीकान्तं कमलनयनं योगिहृद्ध्यानगम्यम्	वन्दे विष्णुं भवभयहरं सर्वलोकैकनाथम् ॥ ३ ॥					FALSE	TRUE	TRUE			
vsn_031	ध्यानम् -5	शालिनी	मेघश्यामं पीतकौशेयवासं श्रीवत्साङ्कं कौस्तुभोद्भासिताङ्गम् । पुण्योपेतं पुण्डरीकायताक्षं विष्णुं वन्दे सर्वलोकैकनाथम् ॥ ४ ॥	मेघश्यामं पीतकौशेयवासम्	श्रीवत्साङ्कं कौस्तुभोद्भासिताङ्गम् ।	पुण्योपेतं पुण्डरीकायताक्षम्	विष्णुं वन्दे सर्वलोकैकनाथम् ॥ ४ ॥					FALSE	TRUE	TRUE			
vsn_032	ध्यानम् -6	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥ 	नमः समस्त-भूतानां आदि-भूताय भूभृते । अनेकरूप-रूपाय विष्णवे प्रभविष्णवे ॥ ५॥	नमः समस्त-भूतानाम्	आदि-भूताय भूभृते ।	अनेकरूप-रूपाय	 विष्णवे प्रभविष्णवे ॥ ५॥					FALSE	TRUE	TRUE			
vsn_033	ध्यानम् -7	वंशस्थ 	सशङ्खचक्रं सकिरीटकुण्डलं सपीतवस्त्रं सरसीरुहेक्षणम् । सहार-वक्षःस्थल-शोभि-कौस्तुभं नमामि विष्णुं शिरसा चतुर्भुजम् । ६॥	सशङ्खचक्रं सकिरीटकुण्डलम्	सपीतवस्त्रं सरसीरुहेक्षणम् ।	सहार-वक्षःस्थल-शोभि-कौस्तुभं	नमामि विष्णुं शिरसा चतुर्भुजम् । ६॥					FALSE	TRUE	TRUE			
vsn_034	ध्यानम् -8	अनुष्टुप् 	छायायां पारिजातस्य हेमसिंहासनोपरि आसीनम् अम्बुदश्यामम् आयताक्षम् अलङ्कृतम् ॥ ७ ॥	छायायां पारिजातस्य	 हेमसिंहासनोपरि	आसीनम् अम्बुदश्यामम्	आयताक्षम् अलङ्कृतम् ॥ ७ ॥					FALSE	TRUE	TRUE			
vsn_035	ध्यानम् -9	अनुष्टुप्	चन्द्राननं चतुर्बाहुं श्रीवत्साङ्कित वक्षसम् रुक्मिणी सत्यभामाभ्यां सहितं कृष्णमाश्रये ॥ ८ ॥	चन्द्राननं चतुर्बाहुम्	 श्रीवत्साङ्कित वक्षसम् । 	रुक्मिणी सत्यभामाभ्याम्	 सहितं कृष्णमाश्रये ॥ ८ ॥					FALSE	TRUE	TRUE			
vsn_036	ध्यानम् -10		ॐ विश्वस्मै नमः									FALSE	FALSE	FALSE	full_only		
vsn_037	VS-1	अनुष्टुप्	विश्वं विष्णुर्वषट्कारो भूतभव्यभवत्प्रभुः ।भूतकृद्भूतभृद्भावो भूतात्मा भूतभावनः ॥१॥	विश्वं विष्णुर्वषट्कारः	भूतभव्यभवत्प्रभुः ।	भूतकृद्भूतभृद्भावः	भूतात्मा भूतभावनः ॥१॥					FALSE	TRUE	TRUE			
vsn_038	VS-2	अनुष्टुप्	पूतात्मा परमात्मा च मुक्तानां परमागतिः । अव्ययः पुरुषः साक्षी क्षेत्रज्ञोऽक्षर एव च ॥२॥	पूतात्मा परमात्मा च	मुक्तानां परमागतिः ।	अव्ययः पुरुषः साक्षी	क्षेत्रज्ञोऽक्षर एव च ॥२॥					FALSE	TRUE	TRUE			
vsn_039	VS-3	अनुष्टुप्	योगो योगविदां नेता प्रधान पुरुषेश्वरः । नारसिंहवपुः श्रीमान् केशवः पुरुषोत्तमः ॥३॥	योगो योगविदां नेता	प्रधान पुरुषेश्वरः ।	नारसिंहवपुः श्रीमान्	केशवः पुरुषोत्तमः ॥३॥					FALSE	TRUE	TRUE			
vsn_040	VS-4	अनुष्टुप्	सर्वः शर्वः शिवः स्थाणुर्भूतादिर्निधिरव्ययः । सम्भवो भावनो भर्ता प्रभवः प्रभुरीश्वरः ॥४॥	सर्वः शर्वः शिवः स्थाणुः	भूतादिर्निधिरव्ययः ।	सम्भवो भावनो भर्ता	प्रभवः प्रभुरीश्वरः ॥४॥					FALSE	TRUE	TRUE			
vsn_041	VS-5	अनुष्टुप्	स्वयम्भूः शम्भुरादित्यः पुष्कराक्षो महास्वनः । अनादिनिधनो धाता विधाता धातुरुत्तमः ॥५॥	स्वयम्भूः शम्भुरादित्यः	पुष्कराक्षो महास्वनः ।	अनादिनिधनो धाता	विधाता धातुरुत्तमः ॥५॥					FALSE	TRUE	TRUE			
vsn_042	VS-6	अनुष्टुप्	अप्रमेयो हृषीकेशः पद्मनाभोऽमरप्रभुः । विश्वकर्मा मनुस्त्वष्टा स्थविष्ठः स्थविरो ध्रुवः ॥६॥	अप्रमेयो हृषीकेशः	पद्मनाभोऽमरप्रभुः ।	विश्वकर्मा मनुस्त्वष्टा	स्थविष्ठः स्थविरो ध्रुवः ॥६॥					FALSE	TRUE	TRUE			
vsn_043	VS-7	अनुष्टुप्	अग्राह्यः शाश्वतः कृष्णो लोहिताक्षः प्रतर्दनः । प्रभूतस्त्रिककुब्धाम पवित्रं मङ्गलं परम् ॥७॥	अग्राह्यः शाश्वतः कृष्णः	लोहिताक्षः प्रतर्दनः ।	प्रभूतस्त्रिककुब्धाम	पवित्रं मङ्गलं परम् ॥७॥					FALSE	TRUE	TRUE			
vsn_044	VS-8	अनुष्टुप्	ईशानः प्राणदः प्राणो ज्येष्ठः श्रेष्ठः प्रजापतिः । हिरण्यगर्भो भूगर्भो माधवो मधुसूदनः ॥८॥	ईशानः प्राणदः प्राणः	ज्येष्ठः श्रेष्ठः प्रजापतिः ।	हिरण्यगर्भो भूगर्भः	माधवो मधुसूदनः ॥८॥					FALSE	TRUE	TRUE			
vsn_045	VS-9	अनुष्टुप्	ईश्वरो विक्रमीधन्वी मेधावी विक्रमः क्रमः । अनुत्तमो दुराधर्षः कृतज्ञः कृतिरात्मवान् ॥९॥	ईश्वरो विक्रमीधन्वी	मेधावी विक्रमः क्रमः ।	अनुत्तमो दुराधर्षः	कृतज्ञः कृतिरात्मवान् ॥९॥					FALSE	TRUE	TRUE			
vsn_046	VS-10	अनुष्टुप्	सुरेशः शरणं शर्म विश्वरेताः प्रजाभवः । अहस्संवत्सरो व्यालः प्रत्ययः सर्वदर्शनः ॥१०॥	सुरेशः शरणं शर्म	विश्वरेताः प्रजाभवः ।	अहस्संवत्सरो व्यालः	प्रत्ययः सर्वदर्शनः ॥१०॥					FALSE	TRUE	TRUE			
vsn_047	VS-11	अनुष्टुप्	अजस्सर्वेश्वरः सिद्धः सिद्धिः सर्वादिरच्युतः । वृषाकपिरमेयात्मा सर्वयोगविनिस्सृतः ॥११॥	अजस्सर्वेश्वरः सिद्धः	सिद्धिः सर्वादिरच्युतः ।	वृषाकपिरमेयात्मा	सर्वयोगविनिस्सृतः ॥११॥					FALSE	TRUE	TRUE			
vsn_048	VS-12	अनुष्टुप्	वसुर्वसुमनाः सत्यः समात्मा सम्मितस्समः । अमोघः पुण्डरीकाक्षो वृषकर्मा वृषाकृतिः ॥१२॥	वसुर्वसुमनाः सत्यः	समात्मा सम्मितस्समः ।	अमोघः पुण्डरीकाक्षः	वृषकर्मा वृषाकृतिः ॥१२॥					FALSE	TRUE	TRUE			
vsn_049	VS-13	अनुष्टुप्	रुद्रो बहुशिरा बभ्रुर्विश्वयोनिः शुचिश्रवाः । अमृतः शाश्वतस्थाणुर्वरारोहो महातपाः ॥१३॥	रुद्रो बहुशिरा बभ्रुः	विश्वयोनिः शुचिश्रवाः ।	अमृतः शाश्वतस्थाणुः	वरारोहो महातपाः ॥१३॥					FALSE	TRUE	TRUE			
vsn_050	VS-14	अनुष्टुप्	सर्वगः सर्वविद्भानुर्विष्वक्सेनो जनार्दनः । वेदो वेदविदव्यङ्गो वेदाङ्गो वेदवित्कविः ॥१४॥	सर्वगः सर्वविद्भानुः	विष्वक्सेनो जनार्दनः ।	वेदो वेदविदव्यङ्गः	वेदाङ्गो वेदवित्कविः ॥१४॥					FALSE	TRUE	TRUE			
vsn_051	VS-15	अनुष्टुप्	लोकाध्यक्षः सुराध्यक्षो धर्माध्यक्षः कृताकृतः । चतुरात्मा चतुर्व्यूहश्चतुर्दंष्ट्रश्चतुर्भुजः ॥१५॥	लोकाध्यक्षः सुराध्यक्षः	धर्माध्यक्षः कृताकृतः ।	चतुरात्मा चतुर्व्यूहः	चतुर्दंष्ट्रश्चतुर्भुजः ॥१५॥					FALSE	TRUE	TRUE			
vsn_052	VS-16	अनुष्टुप्	भ्राजिष्णुर्भोजनं भोक्ता सहिष्णुर्जगदादिजः । अनघो विजयो जेता विश्वयोनिः पुनर्वसुः ॥१६॥	भ्राजिष्णुर्भोजनं भोक्ता	सहिष्णुर्जगदादिजः ।	अनघो विजयो जेता	विश्वयोनिः पुनर्वसुः ॥१६॥					FALSE	TRUE	TRUE			
vsn_053	VS-17	अनुष्टुप्	उपेन्द्रो वामनः प्रांशुरमोघः शुचिरूर्जितः । अतीन्द्रः सङ्ग्रहः सर्गो धृतात्मा नियमो यमः ॥१७॥	उपेन्द्रो वामनः प्रांशुः	अमोघः शुचिरूर्जितः ।	अतीन्द्रः सङ्ग्रहः सर्गः	धृतात्मा नियमो यमः ॥१७॥					FALSE	TRUE	TRUE			
vsn_054	VS-18	अनुष्टुप्	वेद्यो वैद्यः सदायोगी वीरहा माधवो मधुः । अतीन्द्रियो महामायो महोत्साहो महाबलः ॥१८॥	वेद्यो वैद्यः सदायोगी	वीरहा माधवो मधुः ।	अतीन्द्रियो महामायः	महोत्साहो महाबलः ॥१८॥					FALSE	TRUE	TRUE			
vsn_055	VS-19	अनुष्टुप्	महाबुद्धिर्महावीर्यो महाशक्तिर्महाद्युतिः । अनिर्देश्यवपुः श्रीमान् अमेयात्मा महाद्रिधृक् ॥१९॥	महाबुद्धिर्महावीर्यः	महाशक्तिर्महाद्युतिः ।	अनिर्देश्यवपुः श्रीमान्	अमेयात्मा महाद्रिधृक् ॥१९॥					FALSE	TRUE	TRUE			
vsn_056	VS-20	अनुष्टुप्	महेश्वासो महीभर्ता श्रीनिवासः सताङ्गतिः । अनिरुद्धः सुरानन्दो गोविन्दो गोविदां पतिः ॥२०॥	महेश्वासो महीभर्ता	श्रीनिवासः सताङ्गतिः ।	अनिरुद्धः सुरानन्दः	गोविन्दः गोविदां पतिः ॥२०॥					FALSE	TRUE	TRUE			
